1|This is a book.|This is a book.
2|This is not a book.|This is not a book.
3|Is this a book?|Is this a book?
4|What is it?|What is it?
5|That is a pencil.|That is a pencil.
6|That is not a pencil.|That is not a pencil.
7|Is that a pencil?|Is that a pencil?
8|What is that?|What is that?
9|These are books.|These are books.
10|These are not books.|These are not books.
11|Are these books?|Are these books?
12|What are these?|What are these?
13|Those are pencils.|Those are pencils.
14|Those are not pencils.|Those are not pencils.
15|Are those pencils?|Are those pencils?
16|What are those?|What are those?
17|What is your address?|What is your address?
18|What's your name?|What's your name?
19|What color is this?|What color is this?
20|What size is that?|What size is that?
21|What day is today?|What day is today?
22|Milk is good to eat.|Milk is good to eat.
23|Milk is good for you to eat.|Milk is good for you to eat.
24|This yard is full of children.|This yard is full of children.
25|What is this in the picture?|What is this in the picture?
26|One is strong. The other is weak.|One is strong. The other is weak.
27|That's a good idea.|That's a good idea.
28|That's very kind of you.|That's very kind of you.
29|What he said is something.|What he said is something.
30|All you have to do is add the letters.|All you have to do is add the letters.
31|This is my girl going into the door.|This is my girl going into the door.
32|To do as you suggest would be out of the question.|To do as you suggest would be out of the question.
33|That is exactly what we want to learn.|That is exactly what we want to learn.
34|I am a girl.|I am a girl.
35|I am not a girl.|I am not a girl.
36|Are you a girl?|Are you a girl?
37|Who are you?|Who are you?
38|How old are you?|How old are you?
39|How are you?|How are you?
40|Where are you?|Where are you?
41|My father is in his office.|My father is in his office.
42|Who's that man over there?|Who's that man over there?
43|I'm eight.|I'm eight.
44|It is seven. It must be seven.|It is seven. It must be seven.
45|It's very cold.|It's very cold.
46|It is difficult.|It is difficult.
47|It is wonderful.|It is wonderful.
48|It's ten o'clock.|It's ten o'clock.
49|It is time for you to get up.|It is time for you to get up.
50|I'm interested in this book.|I'm interested in this book.
51|I'm very fond to you as a friend.|I'm very fond to you as a friend.
52|I'm thirsty.|I'm thirsty.
53|I'm busy just now.|I'm busy just now.
54|I'm afraid. I'm sure. I'm sorry.|I'm afraid. I'm sure. I'm sorry.
55|I'm glad you like it.|I'm glad you like it.
56|I'm ready for breakfast.|I'm ready for breakfast.
57|I'm good at tennis.|I'm good at tennis.
58|What time is it?|What time is it?
59|It's two minutes past six.|It's two minutes past six.
60|How many are they?|How many are they?
61|How many flowers are they?|How many flowers are they?
62|How much rice are they?|How much rice are they?
63|What is your father?|What is your father?
64|Are you sure?|Are you sure?
65|What are you afraid of?|What are you afraid of?
66|It's in the sky.|It's in the sky.
67|The car is near the tree.|The car is near the tree.
68|Your hat looks very nice.|Your hat looks very nice.
69|I have a pencil and two books.|I have a pencil and two books.
70|What is the meaning of this?|What is the meaning of this?
